CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATIVIDADE/ USO
25.99-3-01,Serviços de confecção de armações metálicas para a construção,Comércio e serviços
25.99-3-02,Serviço de corte e dobra de metais,Comércio e serviços
25.99-3-99,Fabricação de outros produtos de metal não especificados anteriormente,Industrial
26.10-8-00,Fabricação de componentes eletrônicos,Industrial
26.21-3-00,Fabricação de equipamentos de informática,Industrial
26.22-1-00,Fabricação de periféricos para equipamentos de informática,Industrial
26.31-1-00,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",Industrial
26.32-9-00,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",Industrial
26.40-0-00,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",Industrial
26.51-5-00,"Fabricação de aparelhos e equipamentos de medida, teste e controle",Industrial
26.52-3-00,Fabricação de cronômetros e relógios,Industrial
26.60-4-00,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,Industrial
26.70-1-01,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios",Industrial
26.70-1-02,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",Industrial
26.80-9-00,"Fabricação de mídias virgens, magnéticas e ópticas",Industrial
27.10-4-01,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",Industrial
27.10-4-02,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",Industrial
27.10-4-03,"Fabricação de motores elétricos, peças e acessórios",Industrial
27.21-0-00,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",Industrial
27.22-8-01,Fabricação de baterias e acumuladores para veículos automotores,Industrial
27.22-8-02,Recondicionamento de baterias e acumuladores para veículos automotores,Comércio e serviços
27.31-7-00,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,Industrial
27.32-5-00,Fabricação de material elétrico para instalações em circuito de consumo,Industrial
27.33-3-00,"Fabricação de fios, cabos e condutores elétricos isolados",Industrial
27.40-6-01,Fabricação de lâmpadas,Industrial
27.40-6-02,Fabricação de luminárias e outros equipamentos de iluminação,Industrial
27.51-1-00,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",Industrial
27.59-7-01,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",Industrial
27.59-7-99,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",Industrial
27.90-2-01,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",Industrial
27.90-2-02,Fabricação de equipamentos para sinalização e alarme,Industrial
27.90-2-99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,Industrial
28.11-9-00,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",Industrial
28.12-7-00,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",Industrial
28.13-5-00,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",Industrial
28.14-3-01,"Fabricação de compressores para uso industrial, peças e acessórios",Industrial
28.14-3-02,"Fabricação de compressores para uso não industrial, peças e acessórios",Industrial
28.15-1-01,Fabricação de rolamentos para fins industriais,Industrial
28.15-1-02,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",Industrial
28.21-6-01,"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios",Industrial
28.21-6-02,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",Industrial
28.22-4-01,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",Industrial
28.22-4-02,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",Industrial
28.23-2-00,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",Industrial
28.24-1-01,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,Industrial
28.24-1-02,Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial,Industrial
28.25-9-00,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios",Industrial
28.29-1-01,"Fabricação de máquinas de escrever, calcular e outros equipamentos não eletrônicos para escritório, peças e acessórios",Industrial
28.29-1-99,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",Industrial
28.31-3-00,"Fabricação de tratores agrícolas, peças e acessórios",Industrial
28.32-1-00,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios",Industrial
28.33-0-00,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",Industrial
28.40-2-00,"Fabricação de máquinas-ferramenta, peças e acessórios",Industrial
28.51-8-00,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",Industrial
28.52-6-00,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo",Industrial
28.53-4-00,"Fabricação de tratores, peças e acessórios, exceto agrícolas",Industrial
28.54-2-00,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores",Industrial
28.61-5-00,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta",Industrial
28.62-3-00,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",Industrial
28.63-1-00,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios",Industrial
28.64-0-00,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios",Industrial
28.65-8-00,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios",Industrial
28.66-6-00,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios",Industrial
28.69-1-00,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",Industrial
29.10-7-01,"Fabricação de automóveis, camionetas e utilitários",Industrial
29.10-7-02,"Fabricação de chassis com motor para automóveis, camionetas e utilitários",Industrial
29.10-7-03,"Fabricação de motores para automóveis, camionetas e utilitários",Industrial
29.20-4-01,Fabricação de caminhões e ônibus,Industrial
29.20-4-02,Fabricação de motores para caminhões e ônibus,Industrial
29.30-1-01,"Fabricação de cabines, carrocerias e reboques para caminhões",Industrial
29.30-1-02,Fabricação de carrocerias para ônibus,Industrial
29.30-1-03,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",Industrial
29.41-7-00,Fabricação de peças e acessórios para o sistema motor de veículos automotores,Industrial
29.42-5-00,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,Industrial
29.43-3-00,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,Industrial
29.44-1-00,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,Industrial
29.45-0-00,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",Industrial
29.49-2-01,Fabricação de bancos e estofados para veículos automotores,Industrial
29.49-2-99,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,Industrial
29.50-6-00,Recondicionamento e recuperação de motores para veículos automotores,Comércio e serviços
30.11-3-01,Construção de embarcações de grande porte,Comércio e serviços
30.11-3-02,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Industrial
30.12-1-00,Construção de embarcações para esporte e lazer,Industrial
30.31-8-00,"Fabricação de locomotivas, vagões e outros materiais rodantes",Industrial
30.32-6-00,Fabricação de peças e acessórios para veículos ferroviários,Industrial
30.41-5-00,Fabricação de aeronaves,Industrial
30.42-3-00,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",Industrial
30.50-4-00,Fabricação de veículos militares de combate,Industrial
30.91-1-01,Fabricação de motocicletas,Industrial
30.91-1-02,Fabricação de peças e acessórios para motocicletas,Industrial
30.92-0-00,"Fabricação de bicicletas e triciclos não motorizados, peças e acessórios",Industrial
30.99-7-00,Fabricação de equipamentos de transporte não especificados anteriormente,Industrial
31.01-2-00,Fabricação de móveis com predominância de madeira,Industrial
31.02-1-00,Fabricação de móveis com predominância de metal,Industrial
31.03-9-00,"Fabricação de móveis de outros materiais, exceto madeira e metal",Industrial
31.04-7-00,Fabricação de colchões,Industrial
32.11-6-01,Lapidação de gemas,Industrial
32.11-6-02,Fabricação de artefatos de joalheria e ourivesaria,Industrial
32.11-6-03,Cunhagem de moedas e medalhas,Industrial
32.12-4-00,Fabricação de bijuterias e artefatos semelhantes,Industrial
32.20-5-00,"Fabricação de instrumentos musicais, peças e acessórios",Industrial
32.30-2-00,Fabricação de artefatos para pesca e esporte,Industrial
32.40-0-01,Fabricação de jogos eletrônicos,Industrial
32.40-0-02,"Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação",Industrial
32.40-0-03,"Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação",Industrial
32.40-0-99,Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente,Industrial
32.50-7-01,"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",Industrial
32.50-7-02,"Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório",Industrial
32.50-7-03,Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda,Industrial
32.50-7-04,"Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda",Industrial
32.50-7-05,Fabricação de materiais para medicina e odontologia,Industrial
32.50-7-06,Serviços de prótese dentária,"Hospitais, clínicas, centros de zoonose e similares"
32.50-7-07,Fabricação de artigos ópticos,Industrial
32.50-7-09,Serviço de laboratório óptico,Comércio e serviços
32.91-4-00,"Fabricação de escovas, pincéis e vassouras",Industrial
32.92-2-01,Fabricação de roupas de proteção e segurança e resistentes a fogo,Industrial
32.92-2-02,Fabricação de equipamentos e acessórios para segurança pessoal e profissional,Industrial
32.99-0-01,Fabricação de guarda-chuvas e similares,Industrial
32.99-0-02,"Fabricação de canetas, lápis e outros artigos para escritório",Industrial
32.99-0-03,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",Industrial
32.99-0-04,Fabricação de painéis e letreiros luminosos,Industrial
32.99-0-05,Fabricação de aviamentos para costura,Industrial
32.99-0-06,"Fabricação de velas, inclusive decorativas",Industrial
32.99-0-99,Fabricação de produtos diversos não especificados anteriormente,Industrial
33.11-2-00,"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",Comércio e serviços
33.12-1-02,"Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle",Comércio e serviços
33.12-1-03,Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,Comércio e serviços
33.12-1-04,Manutenção e reparação de equipamentos e instrumentos ópticos,Comércio e serviços
33.13-9-01,"Manutenção e reparação de geradores, transformadores e motores elétricos",Comércio e serviços
33.13-9-02,"Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos",Comércio e serviços
33.13-9-99,"Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente",Comércio e serviços
33.14-7-01,Manutenção e reparação de máquinas motrizes não elétricas,Comércio e serviços
33.14-7-02,"Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas",Comércio e serviços
33.14-7-03,Manutenção e reparação de válvulas industriais,Comércio e serviços
33.14-7-04,Manutenção e reparação de compressores,Comércio e serviços
33.14-7-05,Manutenção e reparação de equipamentos de transmissão para fins industriais,Comércio e serviços
33.14-7-06,"Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas",Comércio e serviços
33.14-7-07,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,Comércio e serviços
33.14-7-08,"Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas",Comércio e serviços
33.14-7-09,"Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não eletrônicos para escritório",Comércio e serviços
33.14-7-10,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,Comércio e serviços
33.14-7-11,Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária,Comércio e serviços
33.14-7-12,Manutenção e reparação de tratores agrícolas,Comércio e serviços
33.14-7-13,Manutenção e reparação de máquinas-ferramenta,Comércio e serviços
33.14-7-14,Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo,Comércio e serviços
33.14-7-15,"Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo",Comércio e serviços
33.14-7-16,"Manutenção e reparação de tratores, exceto agrícolas",Comércio e serviços
33.14-7-17,"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores",Comércio e serviços
33.14-7-18,"Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta",Comércio e serviços
33.14-7-19,"Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",Comércio e serviços
33.14-7-20,"Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados",Comércio e serviços
33.14-7-21,"Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos",Comércio e serviços
33.14-7-22,Manutenção e reparação de máquinas e aparelhos para a indústria do plástico,Comércio e serviços
33.14-7-99,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,Comércio e serviços
33.15-5-00,Manutenção e reparação de veículos ferroviários,Comércio e serviços
33.16-3-01,"Manutenção e reparação de aeronaves, exceto a manutenção na pista",Comércio e serviços
33.16-3-02,Manutenção de aeronaves na pista,Comércio e serviços
33.17-1-01,Manutenção e reparação de embarcações e estruturas flutuantes,Comércio e serviços
33.17-1-02,Manutenção e reparação de embarcações para esporte e lazer,Comércio e serviços
33.19-8-00,Manutenção e reparação de equipamentos e produtos não especificados anteriormente,Comércio e serviços
33.21-0-00,Instalação de máquinas e equipamentos industriais,Comércio e serviços
33.29-5-01,Serviços de montagem de móveis de qualquer material,Comércio e serviços
33.29-5-99,Instalação de outros equipamentos não especificados anteriormente,Comércio e serviços
35.11-5-01,Geração de energia elétrica,
35.11-5-02,Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica,Comércio e serviços
35.12-3-00,Transmissão de energia elétrica,
35.13-1-00,Comércio atacadista de energia elétrica,Comércio e serviços
35.14-0-00,Distribuição de energia elétrica,
35.20-4-01,Produção de gás; processamento de gás natural,Industrial
35.20-4-02,Distribuição de combustíveis gasosos por redes urbanas,
35.30-1-00,"Produção e distribuição de vapor, água quente e ar condicionado",
36.00-6-01,"Captação, tratamento e distribuição de água",Estação de tratamento de água e esgoto
36.00-6-02,Distribuição de água por caminhões,Comércio e serviços
37.01-1-00,Gestão de redes de esgoto,Estação de tratamento de água e esgoto
37.02-9-00,"Atividades relacionadas a esgoto, exceto a gestão de redes",Estação de tratamento de água e esgoto
38.11-4-00,Coleta de resíduos não perigosos,"Triagem, reciclagem, transbordo e aterro"
38.12-2-00,Coleta de resíduos perigosos,"Triagem, reciclagem, transbordo e aterro"
38.21-1-00,Tratamento e disposição de resíduos não perigosos,"Triagem, reciclagem, transbordo e aterro"
38.22-0-00,Tratamento e disposição de resíduos perigosos,"Triagem, reciclagem, transbordo e aterro"
38.31-9-01,Recuperação de sucatas de alumínio,"Triagem, reciclagem, transbordo e aterro"
38.31-9-99,"Recuperação de materiais metálicos, exceto alumínio","Triagem, reciclagem, transbordo e aterro"
38.32-7-00,Recuperação de materiais plásticos,"Triagem, reciclagem, transbordo e aterro"
38.39-4-01,Usinas de compostagem,"Triagem, reciclagem, transbordo e aterro"
38.39-4-99,Recuperação de materiais não especificados anteriormente,"Triagem, reciclagem, transbordo e aterro"
39.00-5-00,Descontaminação e outros serviços de gestão de resíduos,"Triagem, reciclagem, transbordo e aterro"
41.10-7-00,Incorporação de empreendimentos imobiliários,Comércio e serviços
41.20-4-00,Construção de edifícios,Comércio e serviços
42.11-1-01,Construção de rodovias e ferrovias,Comércio e serviços
42.11-1-02,Pintura para sinalização em pistas rodoviárias e aeroportos,Comércio e serviços
42.12-0-00,Construção de obras de arte especiais,Comércio e serviços
42.13-8-00,"Obras de urbanização - ruas, praças e calçadas",Comércio e serviços
42.21-9-01,Construção de barragens e represas para geração de energia elétrica,Comércio e serviços
42.21-9-02,Construção de estações e redes de distribuição de energia elétrica,Comércio e serviços
42.21-9-03,Manutenção de redes de distribuição de energia elétrica,Comércio e serviços
42.21-9-04,Construção de estações e redes de telecomunicações,Comércio e serviços
42.21-9-05,Manutenção de estações e redes de telecomunicações,Comércio e serviços
42.22-7-01,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",Comércio e serviços
42.22-7-02,Obras de irrigação,Comércio e serviços
42.23-5-00,"Construção de redes de transportes por dutos, exceto para água e esgoto",Comércio e serviços
42.91-0-00,"Obras portuárias, marítimas e fluviais",Comércio e serviços
42.92-8-01,Montagem de estruturas metálicas,Comércio e serviços
42.92-8-02,Obras de montagem industrial,Comércio e serviços
42.99-5-01,Construção de instalações esportivas e recreativas,Comércio e serviços
42.99-5-99,Outras obras de engenharia civil não especificadas anteriormente,Comércio e serviços
43.11-8-01,Demolição de edifícios e outras estruturas,Comércio e serviços
43.11-8-02,Preparação de canteiro e limpeza de terreno,Comércio e serviços
43.12-6-00,Perfurações e sondagens,Comércio e serviços
43.13-4-00,Obras de terraplenagem,Comércio e serviços
43.19-3-00,Serviços de preparação do terreno não especificados anteriormente,Comércio e serviços
43.21-5-00,Instalação e manutenção elétrica,Comércio e serviços
43.22-3-01,"Instalações hidráulicas, sanitárias e de gás",Comércio e serviços
43.22-3-02,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",Comércio e serviços
43.22-3-03,Instalações de sistema de prevenção contra incêndio,Comércio e serviços
43.29-1-01,Instalação de painéis publicitários,Comércio e serviços
43.29-1-02,"Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre",Comércio e serviços
43.29-1-03,"Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes",Comércio e serviços
43.29-1-04,"Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos",Comércio e serviços
43.29-1-05,"Tratamentos térmicos, acústicos ou de vibração",Comércio e serviços
43.29-1-99,Outras obras de instalações em construções não especificadas anteriormente,Comércio e serviços
43.30-4-01,Impermeabilização em obras de engenharia civil,Comércio e serviços
43.30-4-02,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material",Comércio e serviços
43.30-4-03,Obras de acabamento em gesso e estuque,Comércio e serviços
43.30-4-04,Serviços de pintura de edifícios em geral,Comércio e serviços
43.30-4-05,Aplicação de revestimentos e de resinas em interiores e exteriores,Comércio e serviços
43.30-4-99,Outras obras de acabamento da construção,Comércio e serviços
43.91-6-00,Obras de fundações,Comércio e serviços
43.99-1-01,Administração de obras,Comércio e serviços
43.99-1-02,Montagem e desmontagem de andaimes e outras estruturas temporárias,Comércio e serviços
43.99-1-03,Obras de alvenaria,Comércio e serviços
43.99-1-04,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,Comércio e serviços
43.99-1-05,Perfuração e construção de poços de água,Comércio e serviços
43.99-1-99,Serviços especializados para construção não especificados anteriormente,Comércio e serviços
45.11-1-01,"Comércio a varejo de automóveis, camionetas e utilitários novos",Comércio e serviços
45.11-1-02,"Comércio a varejo de automóveis, camionetas e utilitários usados",Comércio e serviços
45.11-1-03,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados",Comércio e serviços
45.11-1-04,Comércio por atacado de caminhões novos e usados,Comércio e serviços
45.11-1-05,Comércio por atacado de reboques e semireboques novos e usados,Comércio e serviços
45.11-1-06,Comércio por atacado de ônibus e micro-ônibus novos e usados,Comércio e serviços
45.12-9-01,Representantes comerciais e agentes do comércio de veículos automotores,Comércio e serviços
45.12-9-02,Comércio sob consignação de veículos automotores,Comércio e serviços
45.20-0-01,Serviços de manutenção e reparação mecânica de veículos automotores,Comércio e serviços
45.20-0-02,Serviços de lanternagem ou funilaria e pintura de veículos automotores,Comércio e serviços
45.20-0-03,Serviços de manutenção e reparação elétrica de veículos automotores,Comércio e serviços
45.20-0-04,Serviços de alinhamento e balanceamento de veículos automotores,Comércio e serviços
45.20-0-05,"Serviços de lavagem, lubrificação e polimento de veículos automotores",Comércio e serviços
45.20-0-06,Serviços de borracharia para veículos automotores,Comércio e serviços
45.20-0-07,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores",Comércio e serviços
45.20-0-08,Serviços de capotaria,Comércio e serviços
45.30-7-01,Comércio por atacado de peças e acessórios novos para veículos automotores,Comércio e serviços
45.30-7-02,Comércio por atacado de pneumáticos e câmaras-de-ar,Comércio e serviços
45.30-7-03,Comércio a varejo de peças e acessórios novos para veículos automotores,Comércio e serviços
45.30-7-04,Comércio a varejo de peças e acessórios usados para veículos automotores,Comércio e serviços
45.30-7-05,Comércio a varejo de pneumáticos e câmaras-de-ar,Comércio e serviços
45.30-7-06,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores,Comércio e serviços
45.41-2-01,Comércio por atacado de motocicletas e motonetas,Comércio e serviços
45.41-2-02,Comércio por atacado de peças e acessórios para motocicletas e motonetas,Comércio e serviços
45.41-2-03,Comércio a varejo de motocicletas e motonetas novas,Comércio e serviços
45.41-2-04,Comércio a varejo de motocicletas e motonetas usadas,Comércio e serviços
45.41-2-06,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,Comércio e serviços
45.41-2-07,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas,Comércio e serviços
45.42-1-01,"Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios",Comércio e serviços
45.42-1-02,Comércio sob consignação de motocicletas e motonetas,Comércio e serviços
45.43-9-00,Manutenção e reparação de motocicletas e motonetas,Comércio e serviços
46.11-7-00,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos,Comércio e serviços
46.12-5-00,"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos",Comércio e serviços
46.13-3-00,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",Comércio e serviços
46.14-1-00,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves",Comércio e serviços
46.15-0-00,"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico",Comércio e serviços
46.16-8-00,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem",Comércio e serviços
46.17-6-00,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",Comércio e serviços
46.18-4-01,"Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria",Comércio e serviços
46.18-4-02,Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares,Comércio e serviços
46.18-4-03,"Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações",Comércio e serviços
46.18-4-99,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente,Comércio e serviços
46.19-2-00,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,Comércio e serviços
46.21-4-00,Comércio atacadista de café em grão,Comércio e serviços
46.22-2-00,Comércio atacadista de soja,Comércio e serviços
46.23-1-01,Comércio atacadista de animais vivos,Comércio e serviços
46.23-1-02,"Comércio atacadista de couros, lãs, peles e outros subprodutos não comestíveis de origem animal",Comércio e serviços
46.23-1-03,Comércio atacadista de algodão,Comércio e serviços
46.23-1-04,Comércio atacadista de fumo em folha não beneficiado,Comércio e serviços
46.23-1-05,Comércio atacadista de cacau,Comércio e serviços
46.23-1-06,"Comércio atacadista de sementes, flores, plantas e gramas",Comércio e serviços
46.23-1-07,Comércio atacadista de sisal,Comércio e serviços
46.23-1-08,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada,Comércio e serviços
46.23-1-09,Comércio atacadista de alimentos para animais,Comércio e serviços
46.23-1-99,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente,Comércio e serviços
46.31-1-00,Comércio atacadista de leite e laticínios,Comércio e serviços
46.32-0-01,Comércio atacadista de cereais e leguminosas beneficiados,Comércio e serviços
46.32-0-02,"Comércio atacadista de farinhas, amidos e féculas",Comércio e serviços
46.32-0-03,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada",Comércio e serviços
46.33-8-01,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",Comércio e serviços
46.33-8-02,Comércio atacadista de aves vivas e ovos,Comércio e serviços
46.33-8-03,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação,Comércio e serviços
46.34-6-01,Comércio atacadista de carnes bovinas e suínas e derivados,Comércio e serviços
46.34-6-02,Comércio atacadista de aves abatidas e derivados,Comércio e serviços
46.34-6-03,Comércio atacadista de pescados e frutos do mar,Comércio e serviços
46.34-6-99,Comércio atacadista de carnes e derivados de outros animais,Comércio e serviços
46.35-4-01,Comércio atacadista de água mineral,Comércio e serviços
46.35-4-02,"Comércio atacadista de cerveja, chope e refrigerante",Comércio e serviços
46.35-4-03,Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada,Comércio e serviços
46.35-4-99,Comércio atacadista de bebidas não especificadas anteriormente,Comércio e serviços
46.36-2-01,Comércio atacadista de fumo beneficiado,Comércio e serviços
46.36-2-02,"Comércio atacadista de cigarros, cigarrilhas e charutos",Comércio e serviços
46.37-1-01,"Comércio atacadista de café torrado, moído e solúvel",Comércio e serviços
46.37-1-02,Comércio atacadista de açúcar,Comércio e serviços
46.37-1-03,Comércio atacadista de óleos e gorduras,Comércio e serviços
46.37-1-04,"Comércio atacadista de pães, bolos, biscoitos e similares",Comércio e serviços
46.37-1-05,Comércio atacadista de massas alimentícias,Comércio e serviços
46.37-1-06,Comércio atacadista de sorvetes,Comércio e serviços
46.37-1-07,"Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes",Comércio e serviços
46.37-1-99,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,Comércio e serviços
46.39-7-01,Comércio atacadista de produtos alimentícios em geral,Comércio e serviços
46.39-7-02,"Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada",Comércio e serviços
46.41-9-01,Comércio atacadista de tecidos,Comércio e serviços
46.41-9-02,"Comércio atacadista de artigos de cama, mesa e banho",Comércio e serviços
46.41-9-03,Comércio atacadista de artigos de armarinho,Comércio e serviços
46.42-7-01,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",Comércio e serviços
46.42-7-02,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,Comércio e serviços
46.43-5-01,Comércio atacadista de calçados,Comércio e serviços
46.43-5-02,"Comércio atacadista de bolsas, malas e artigos de viagem",Comércio e serviços
46.44-3-01,Comércio atacadista de medicamentos e drogas de uso humano,Comércio e serviços
46.44-3-02,Comércio atacadista de medicamentos e drogas de uso veterinário,Comércio e serviços
46.45-1-01,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",Comércio e serviços
46.45-1-02,Comércio atacadista de próteses e artigos de ortopedia,Comércio e serviços
46.45-1-03,Comércio atacadista de produtos odontológicos,Comércio e serviços
46.46-0-01,Comércio atacadista de cosméticos e produtos de perfumaria,Comércio e serviços
46.46-0-02,Comércio atacadista de produtos de higiene pessoal,Comércio e serviços
46.47-8-01,Comércio atacadista de artigos de escritório e de papelaria,Comércio e serviços
